LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Luis Reyes,642530,R,SI,2024,413,-2.36,93.5,-2.0,6.1,5.6,-17.2,29.9,-26.9,-17.0,5.2,17.9,-26.5,2166,-2.6,-5.2,42.2,39.0
AAA,Luis Romero,673603,R,FF,2022,78,0.37,92.8,-2.5,5.8,6.1,-6.2,26.0,-18.8,-6.2,13.2,14.8,-18.7,2210,2.5,1.4,55.2,47.4
AAA,Luis Romero,673603,R,SI,2022,437,-1.47,92.8,-2.7,5.9,5.9,-13.0,26.3,-25.0,-13.1,7.2,15.1,-24.9,2109,-3.4,-4.2,39.0,39.1
AAA,Luis Romero,673603,R,SI,2023,71,2.38,91.6,-2.5,5.8,6.1,-11.1,26.5,-23.7,-11.2,8.6,14.5,-24.3,2113,-4.3,-3.5,37.7,40.5
AAA,Luis Severino,622663,R,FF,2023,26,6.0,95.6,-2.0,6.0,6.0,-10.2,31.1,-13.6,-9.6,17.4,19.8,-12.8,2254,0.3,0.2,54.2,70.2
AAA,Luke Bard,572703,R,FF,2022,28,-1.71,94.1,-1.5,6.4,5.4,-10.8,31.2,-15.7,-10.3,16.0,18.8,-15.2,2551,3.5,2.8,60.7,71.8
AAA,Luke Bard,572703,R,FF,2023,28,-12.82,92.4,-1.5,6.4,5.2,-11.2,27.4,-18.5,-11.4,13.3,18.4,-18.2,2629,2.6,2.8,51.0,43.7
AAA,Luke Bard,572703,R,SI,2023,175,-0.08,91.8,-1.5,6.4,5.2,-16.8,28.7,-27.9,-17.0,4.3,17.6,-28.0,2454,-2.5,-5.5,38.5,29.0
AAA,Luke Barker,673316,R,FF,2024,78,-1.65,90.3,-1.8,6.6,5.7,-5.3,25.8,-15.4,-5.4,17.4,18.5,-16.0,2195,2.3,0.9,45.7,47.4
AAA,Luke Farrell,608652,R,FF,2023,393,-1.2,92.2,-1.7,6.4,6.6,-2.9,27.0,-15.4,-2.9,16.7,17.3,-15.1,2320,4.1,0.8,53.4,45.6
AAA,Luke Jackson,592426,R,FF,2023,35,-0.26,94.2,-1.9,6.8,6.6,-6.5,29.0,-15.1,-6.4,16.3,17.5,-14.4,2185,2.0,1.1,48.0,49.8
AAA,Luke Little,681432,L,FF,2023,141,1.67,95.4,-3.3,7.3,5.7,-9.3,27.9,-21.5,-8.3,9.6,12.9,-19.1,2134,2.2,2.6,47.1,50.0
AAA,Luke Little,681432,L,FF,2024,70,3.73,95.4,-2.8,7.0,5.8,-9.9,27.6,-22.3,-9.0,8.9,13.2,-20.2,2205,0.9,0.8,45.2,45.4
